 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;;
8:15;;
8:30;;
8:45;0,000;
9:00;0,004;
9:15;0,020;
9:30;0,058;
9:45;0,099;
10:00;0,178;
10:15;0,231;
10:30;0,285;
10:45;0,221;
11:00;0,472;
11:15;0,581;
11:30;0,681;
11:45;0,734;
12:00;0,700;
12:15;0,667;
12:30;0,590;
12:45;0,492;
13:00;0,424;
13:15;0,475;
13:30;0,476;
13:45;0,580;
14:00;0,629;
14:15;0,498;
14:30;0,426;
14:45;0,373;
15:00;0,376;
15:15;0,314;
15:30;0,282;
15:45;0,230;
16:00;0,123;
16:15;0,111;
16:30;0,051;
16:45;0,013;
17:00;0,000;
17:15;0,000;
17:30;0,000;
17:45;;
18:00;;
18:15;;
18:30;;
18:45;;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
